"","totalmoosena","SurveyID","SurveyName","Surveyyear","ID","Intid","Stratname","Counted","GMU","AreaMi","centrlat","centrlon","YBULL_SF","YBULL_GTSF","BULL_30_40","BULL_41_50","BULL_GT_50","COW_W_0","COW_W_1","COW_W_2","CALF","UNKNOWN","totalmoose","TotalAdults","TotalCows","TotalBulls","TotalCalves","datecounted","searchmin","comments","ELEV_MEAN","prp_burn_1_30","prp_burn_31_60","prop.cov.1","prop.cov.2","prop.cov.3","prop.cov.4","prop.cov.5","prop.cov.6","prop.cov.7","prop.cov.6_7","prop.cov.8","prop.cov.9","prop.cov.10","prop.cov.11","prop.cov.12","prop.cov.13","prop.cov.14","prop.cov.15","prop.cov.99","stratfact","xcoords","ycoords"
"12",21,676,"20E TAYLOR CORRIDOR",2014,"6400-14300",NA,"HIGH",1,"20E",5.847,64.0167,-143.0417,2,0,1,1,2,7,4,0,0,0,21,17,11,6,4,NA,NA,NA,1206.625,0,0.000335776,0.005943536,NA,NA,0.06769688,0.201010401,0.28653789,0.000118871,0.286656761,0.18115899,0.081129272,0.071263001,0.099673105,NA,NA,0.005468053,NA,NA,"HIGH",64.239039073378,155.525946694928
"13",NA,676,"20E TAYLOR CORRIDOR",2014,"6402-14300",NA,"HIGH",0,"20E",5.84,64.05,-143.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1309.8462,0,0,0.001785183,NA,0.000535555,0.023445403,0.157215115,0.172448676,0.002677774,0.17512645,0.215947635,0.063016959,0.236120202,0.031835763,NA,NA,0.094971735,NA,NA,"HIGH",64.2771627514503,159.236624105942
"14",NA,676,"20E TAYLOR CORRIDOR",2014,"6404-14300",NA,"HIGH",0,"20E",5.833,64.0833,-143.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1226.9333,0,0,0.02698999,NA,0.004587703,0.206029552,0.070185891,0.181720686,0.006553861,0.188274547,0.090681602,0.091694471,0.148236416,0.099439943,NA,NA,0.073879886,NA,NA,"HIGH",64.3152973897183,162.947318620795
"15",12,676,"20E TAYLOR CORRIDOR",2014,"6406-14300",NA,"HIGH",1,"20E",5.826,64.1167,-143.0417,1,0,0,1,1,7,1,0,0,0,12,11,8,3,1,NA,NA,NA,1068.875,0,0,0.098192448,NA,0.00011931,0.391576687,0.15921971,0.063353815,0.001670345,0.06502416,0.021177594,0.025472767,0.028932769,0.198114896,NA,NA,0.012169659,NA,NA,"HIGH",64.3535575430226,166.669173527829
"16",NA,676,"20E TAYLOR CORRIDOR",2014,"6408-14300",NA,"HIGH",0,"20E",5.819,64.15,-143.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1147.1538,0.044336971,0,0.050698674,NA,5.97e-05,0.208885704,0.184223098,0.237011824,0.001851188,0.238863012,0.068971695,0.117042876,0.028723277,0.088797325,NA,NA,0.013734623,NA,NA,"HIGH",64.3917140956711,170.379902255185
"17",33,676,"20E TAYLOR CORRIDOR",2014,"6410-14300",NA,"HIGH",1,"20E",5.812,64.1833,-143.0417,0,2,2,7,5,17,0,0,0,0,33,33,17,16,0,NA,NA,NA,1320.9333,0,0,0.000896861,NA,0.000119581,0.029955157,0.198744395,0.229596413,0.000538117,0.23013453,0.312466368,0.133213752,0.063318386,0.015366218,NA,NA,0.015784753,NA,NA,"HIGH",64.4298815696409,174.09064803986
"18",NA,676,"20E TAYLOR CORRIDOR",2014,"6342-14255",NA,"HIGH",0,"20E",5.909,63.7167,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,883.3333,0.999946834,0,0.185956246,NA,0.012526464,0.645906845,0.020465773,0.036873677,0.000176429,0.037050106,0.012232416,0.001117384,0.012761703,0.071571395,NA,NA,0.000411668,NA,NA,"HIGH",68.0166291617023,122.057663239983
"19",NA,676,"20E TAYLOR CORRIDOR",2014,"6346-14255",NA,"HIGH",0,"20E",5.895,63.7833,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,725.4375,0.999999245,0,0.0058352,0.005127903,0.001709301,0.031415773,0.561829541,0.262583992,NA,0.262583992,0.060061299,0.008723329,0.001591418,0.054520806,NA,0.001591418,0.000943063,0.004066957,NA,"HIGH",68.0830003274197,129.47879607532
"20",NA,676,"20E TAYLOR CORRIDOR",2014,"6348-14255",NA,"HIGH",0,"20E",5.888,63.8167,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,714.6667,1,0,0.005548014,NA,NA,0.00702355,0.461193413,0.279289382,NA,0.279289382,0.132444077,0.003423243,0.047453226,0.053945582,NA,0.001711621,0.002596943,0.00537095,NA,"HIGH",68.1163001126337,133.200531367125
"21",NA,676,"20E TAYLOR CORRIDOR",2014,"6350-14255",NA,"LOW",0,"20E",5.882,63.85,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,690.3333,1,0,0.033144275,5.91e-05,0.00082713,0.025522864,0.173401867,0.453798889,NA,0.453798889,0.129682146,0.003603923,0.055004136,0.114380243,5.91e-05,0.003131277,0.001595179,0.005789909,NA,"LOW",68.1495098559421,136.911141029805
"22",NA,676,"20E TAYLOR CORRIDOR",2014,"6352-14255",NA,"HIGH",0,"20E",5.875,63.8833,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,703.125,0.515509993,0,0.023189778,NA,0.000118315,0.033838145,0.197231425,0.575603407,NA,0.575603407,0.009051112,0.000709891,0.000295788,0.140380975,0.000118315,0.005442499,0.006093232,0.007927118,NA,"HIGH",68.1827292315426,140.621767942108
"23",NA,676,"20E TAYLOR CORRIDOR",2014,"6400-14255",NA,"HIGH",0,"20E",5.847,64.0167,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,987.2667,0,0.749023083,0.055156018,NA,NA,0.188053492,0.201842496,0.199940565,0.000118871,0.200059436,0.004041605,0.037622585,0.000297177,0.312927192,NA,NA,NA,NA,NA,"HIGH",68.3159026068361,155.486734292619
"24",NA,676,"20E TAYLOR CORRIDOR",2014,"6402-14255",NA,"HIGH",0,"20E",5.84,64.05,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1017.4667,0.31849338,0.02950992,0.038859795,NA,0.000238039,0.340454654,0.162401809,0.112056653,0.000178529,0.112235182,0.075993811,0.015412997,0.013568198,0.239585813,NA,NA,0.001249702,NA,NA,"HIGH",68.3491700322423,159.197447325051
"25",NA,676,"20E TAYLOR CORRIDOR",2014,"6404-14255",NA,"HIGH",0,"20E",5.833,64.0833,-142.9583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1073.1875,0.385113994,0,0.01078408,NA,NA,0.152049571,0.329301716,0.126966158,0.001132031,0.128098189,0.194113441,0.04742612,0.018172069,0.118267398,NA,NA,0.001787417,NA,NA,"HIGH",68.3824470221935,162.908177514417
