pred,se,lb,ub,truetotal,sp_de,sp_ie,sp_range,t_de,t_ie,t_range,spt_de,spt_ie,Intercept,resp_type_sim,betavec_sim,sp_de_sim,sp_range_sim,sp_ie_sim,t_de_sim,t_range_sim,t_ie_sim,spt_ie_sim,spt_de_sim,n_sim,sim_time,samp_time,fit_time,pred_time,pred_sptot,se_sptot,lb_sptot,ub_sptot,pred_srs,se_srs,lb_srs,ub_srs,conf_ind,conf_ind_sptot,conf_ind_srs,seed
-74.90135736958084,11.614654361170206,-94.00576372133939,-55.79695101782228,-75.2040493787024,0.01511341526138111,0.16946370408958092,2.5761161335847502,0.08873405194817811,0.14821189065047666,2.34878001951534,1.0230150438071677,0.18284674138458865,-0.2801417791363354,normal,0,0.5,1.4142135623730951,0.1675,0.5,1,0.1675,0.1675,0.5,250,0.698796272277832,0.0223591327667236,155.811110258102,0.235519170761108,-72.62128881022633,11.081576473193783,-90.84886006449923,-54.39371755595343,-70.99835183393239,13.093824864531449,-92.53577715302431,-49.460926514840466,1,1,1,206998667
-73.91325374313782,5.241128164719473,-82.53414241419415,-65.29236507208148,-75.2040493787024,0.41473464902677554,0.05641244776098434,1.5006756673724317,0.3445651419644913,0.09084344249238778,1.7294740216096385,0.6747751825263117,0.16583386373724252,-0.342361802438213,normal,0,0.5,1.4142135623730951,0.1675,0.5,1,0.1675,0.1675,0.5,500,0.756543636322021,0.0241334438323975,99.0884864330292,0.656407833099365,-76.82525786452264,5.726843750511688,-86.24507757853617,-67.40543815050911,-81.58054997179768,7.95677269646676,-94.66827640040948,-68.49282354318588,1,1,1,206998667
-0.5123880404704865,16.23978920295526,-27.224464211878814,26.19968813093784,-10.643347367153396,4.579473182836728e-5,2.3646723934182029e-4,4.20095739598702,0.0011120711248133045,2.9933445982419175e-4,0.2484196975597738,0.02210999150538576,1.8352220095478022,-0.03428801581015726,normal,0,0,1e-10,0,0,1e-10,0,2,0,250,0.757511138916016,0.0380420684814453,64.2028336524963,0.232026815414429,5.44500057020449,22.217795086325452,-31.100020260402538,41.99002140081152,5.44500057020448,22.21779508632545,-31.10002026040254,41.9900214008115,1,1,1,206998667
-7.821723114574222,10.605692364970407,-25.266534667427337,9.623088438278891,-10.643347367153396,2.7856485644247357e-5,9.207653311467055e-4,4.5481937471540075,3.40710637279841e-4,3.9039356143494866e-4,0.5569111266974907,0.01989863647001306,1.8221446092084994,-0.08969171351456236,normal,0,0,1e-10,0,0,1e-10,0,2,0,500,0.737434387207031,0.0331933498382568,58.9072711467743,0.536744832992554,0.7590411559823271,10.845571507282076,-17.080336474132146,18.5984187860968,-6.664697909284261,11.751790083456934,-25.99467245123075,12.665276632662227,1,1,1,206998667
-51.33811791543106,17.939548614805865,-80.84604952036676,-21.830186310495368,-66.99588328322356,9.981604304719514e-4,0.003501959226313537,2.4480425766867513,0.002617592229248668,0.009003985582742863,0.20284018620064775,1.1820741288785324,0.6831486405918407,-0.17106952099813177,normal,0,0,1.4142135623730951,0,0,1e-10,0,0.5,1.5,250,0.679427862167358,0.0266895294189453,125.820188999176,0.365105628967285,-53.27874089287447,16.383482244905778,-80.22717108550279,-26.33031070024614,-50.52972560427674,19.214824192448713,-82.13529886846091,-18.924152340092576,1,1,1,206998667
-62.23921724132233,8.782389481153714,-76.68496243269848,-47.79347204994618,-66.99588328322356,7.130784224265775e-4,0.004722896090487913,1.6369962624105179,0.006618491338781952,0.02649254677657452,0.16008007173891928,1.153581147280441,0.5808227873578128,-0.2361518132879517,normal,0,0,1.4142135623730951,0,0,1e-10,0,0.5,1.5,500,0.71335244178772,0.030698299407959,84.9344794750214,0.640726089477539,-60.957766875613636,7.081538601979504,-72.60586132947648,-49.30967242175079,-71.69084065885492,10.923647709729275,-89.65864221374326,-53.72303910396658,1,1,1,206998667
-31.875066642898272,10.65663169768098,-49.403665941914866,-14.346467343881681,-41.31713411365829,2.9750501024860377e-4,3.588569592603588e-4,2.974710779906418,0.003371650300335395,0.5719329836927987,0.1329637497202453,0.22964045345902975,0.2750310268683831,-0.2969655532573208,normal,0,0,1.4142135623730951,0,0,1e-10,1.5,0.25,0.25,250,0.647121906280518,0.0245876312255859,113.890697956085,0.23891806602478,-32.265493852247786,9.925751144595191,-48.59190162265291,-15.939086081842657,-32.676376661998944,10.406329089168025,-49.79326480756758,-15.559488516430303,1,1,1,206998667
-39.062992948522265,5.298497505077155,-47.77824578714175,-30.34774010990278,-41.31713411365829,0.0019788816364627207,1.3357286862306705e-5,5.65170056567183,0.0019217817910858561,0.4410571142256351,0.0048213584613430935,0.36104831353294603,0.27826638556476474,-0.33474954190524464,normal,0,0,1.4142135623730951,0,0,1e-10,1.5,0.25,0.25,500,0.827513933181763,0.0274243354797363,116.791702747345,0.554259777069092,-37.071827250996215,4.395606941674338,-44.30195727166232,-29.84169723033011,-41.799764086937806,5.271429512482719,-50.47049403976404,-33.12903413411157,1,1,1,206998667
70.21701477140192,8.63386837630023,56.015565058022865,84.41846448478097,76.7584497503108,0.05517846741288401,0.056833927883487415,4.19126424587723,0.038572867880428165,0.017924249071711362,2.891659677131071,0.7482082392786946,0.12462666635767122,1.0458352260804216,lognormal,0,0.17325017325017325,1.4142135623730951,0.05803880803880804,0.17325017325017325,1,0.05803880803880804,0.05803880803880804,0.17325017325017325,250,0.816722869873047,0.0250658988952637,138.123424053192,0.348853349685669,70.86593825512108,4.625322417048197,63.2579599016194,78.47391660862276,71.42681270341687,5.704013281433804,62.04454576927111,80.80907963756263,1,1,1,206998667
74.53538366528991,4.251321016557356,67.54258287187052,81.5281844587093,76.7584497503108,0.3567052913916959,0.03137896280772286,3.277040758160866,0.015068612830481314,0.002621665895837174,1.3197979010956815,0.43124527992317974,0.13650170718648674,0.9690560312115121,lognormal,0,0.17325017325017325,1.4142135623730951,0.05803880803880804,0.17325017325017325,1,0.05803880803880804,0.05803880803880804,0.17325017325017325,500,0.706893682479858,0.0455253124237061,108.824855804443,0.398557662963867,72.76471548324892,2.741713926484268,68.25499738720791,77.27443357928993,70.16293623807928,3.6312770369953107,64.19001703331195,76.13585544284662,1,1,0,206998667
